Respondent_ID,Age_Group,Income_Bracket,Location_Type,Current_Phone_Brand,Current_Phone_Age_Years,Upgrade_Frequency_Years,Price_Importance,Performance_Importance,Camera_Importance,Brand_Importance,Design_Importance,Battery_Importance,Primary_Info_Source,Secondary_Info_Source,Preferred_Purchase_Channel,Average_Budget_Range,Satisfaction_Score,Likelihood_to_Recommend
R001,18-25,<25K,Urban,Samsung,2,3,5,5,4,2,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,9
R002,26-35,25-50K,Urban,Apple,3,4,3,5,5,5,4,2,YouTube Reviews,Brand Website,Online,50000-80000,9,10
R003,36-45,50-100K,Semi-urban,Samsung,2,2,4,3,3,3,2,2,E-commerce Reviews,Peer Recommendations,In-Store,25000-40000,7,7
R004,18-25,<25K,Rural,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Tech Blogs,Online,15000-25000,7,8
R005,26-35,25-50K,Urban,OnePlus,2,3,4,5,3,3,3,2,Brand Website,YouTube Reviews,Online,30000-50000,8,8
R006,45+,50-100K,Urban,iPhone,4,5,2,4,4,5,3,3,Peer Recommendations,Brand Website,In-Store,60000-100000,8,9
R007,18-25,<25K,Urban,Redmi,1,2,5,4,4,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,7
R008,26-35,>100K,Urban,Samsung,3,3,3,4,4,4,4,3,E-commerce Reviews,Tech Blogs,Online,40000-70000,9,9
R009,36-45,25-50K,Semi-urban,Apple,2,3,3,4,5,5,3,2,Peer Recommendations,Brand Website,Online,50000-80000,8,9
R010,45+,50-100K,Rural,Samsung,3,4,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,25000-50000,6,6
R011,18-25,<25K,Urban,Realme,1,2,5,4,3,1,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,8
R012,26-35,25-50K,Urban,Vivo,2,3,4,3,4,2,4,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,7,7
R013,36-45,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,Tech Blogs,Online,40000-70000,8,9
R014,18-25,<25K,Semi-urban,Xiaomi,1,2,5,5,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,8
R015,26-35,>100K,Urban,iPhone,3,4,2,5,5,5,4,3,E-commerce Reviews,Brand Website,Online,70000-120000,9,10
R016,45+,25-50K,Rural,Samsung,4,4,4,2,2,2,1,2,Peer Recommendations,In-Store Staff,In-Store,20000-35000,5,5
R017,36-45,50-100K,Semi-urban,Samsung,2,3,4,4,3,3,3,2,YouTube Reviews,E-commerce Reviews,Online,30000-50000,8,8
R018,18-25,<25K,Urban,Realme,1,2,5,4,4,1,2,2,YouTube Reviews,Peer Recommendations,Online,18000-28000,8,8
R019,26-35,25-50K,Urban,Moto,2,3,4,4,3,2,2,2,Tech Blogs,Peer Recommendations,Online,25000-40000,7,7
R020,36-45,>100K,Urban,iPhone,3,4,2,4,5,5,4,3,Peer Recommendations,Brand Website,Online,80000-150000,9,10
R021,45+,50-100K,Urban,Sony,2,3,3,3,4,3,2,3,In-Store Staff,Brand Website,In-Store,40000-70000,7,7
R022,18-25,<25K,Urban,Samsung,1,2,5,5,4,2,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,9
R023,26-35,25-50K,Semi-urban,Realme,1,2,4,5,3,1,3,2,YouTube Reviews,Tech Blogs,Online,20000-35000,8,8
R024,36-45,50-100K,Urban,Samsung,3,3,4,4,3,3,3,2,E-commerce Reviews,YouTube Reviews,Online,30000-50000,8,8
R025,18-25,<25K,Rural,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,7
R026,26-35,>100K,Urban,Apple,2,4,2,5,5,5,4,3,Brand Website,E-commerce Reviews,Online,60000-100000,9,10
R027,45+,25-50K,Semi-urban,Samsung,3,3,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,25000-40000,6,6
R028,36-45,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,YouTube Reviews,Online,40000-70000,8,9
R029,18-25,<25K,Urban,Realme,1,2,5,4,4,1,3,1,YouTube Reviews,Peer Recommendations,Online,18000-28000,8,8
R030,26-35,25-50K,Urban,Samsung,2,3,4,4,4,2,3,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,8,8
R031,36-45,50-100K,Semi-urban,Apple,2,3,3,4,5,5,3,2,Peer Recommendations,Brand Website,In-Store,60000-100000,8,9
R032,45+,50-100K,Urban,Samsung,3,4,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,30000-50000,6,6
R033,18-25,<25K,Urban,Redmi,1,2,5,4,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,8
R034,26-35,>100K,Urban,iPhone,3,4,2,5,5,5,4,3,E-commerce Reviews,Brand Website,Online,70000-120000,9,10
R035,36-45,25-50K,Rural,Samsung,2,3,4,3,3,2,2,2,YouTube Reviews,Peer Recommendations,Online,20000-35000,7,7
R036,45+,25-50K,Semi-urban,Nokia,3,4,4,2,2,3,2,3,Peer Recommendations,In-Store Staff,In-Store,15000-30000,5,5
R037,18-25,<25K,Urban,Xiaomi,1,2,5,5,4,1,3,1,YouTube Reviews,Tech Blogs,Online,18000-28000,8,8
R038,26-35,50-100K,Urban,Samsung,2,3,4,4,3,3,3,2,YouTube Reviews,E-commerce Reviews,Online,30000-50000,8,8
R039,36-45,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,Tech Blogs,Online,40000-70000,8,9
R040,45+,>100K,Urban,iPhone,4,5,2,4,4,5,3,3,Peer Recommendations,Brand Website,In-Store,80000-150000,9,10
R041,18-25,<25K,Semi-urban,Realme,1,2,5,4,3,1,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,8
R042,26-35,25-50K,Urban,Vivo,2,3,4,3,4,2,4,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,7,7
R043,36-45,50-100K,Semi-urban,Samsung,2,3,4,4,3,3,3,2,YouTube Reviews,E-commerce Reviews,Online,30000-50000,8,8
R044,18-25,<25K,Urban,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,7
R045,26-35,>100K,Urban,Apple,3,4,2,5,5,5,4,3,E-commerce Reviews,Brand Website,Online,70000-120000,9,10
R046,45+,50-100K,Semi-urban,Samsung,3,4,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,25000-50000,6,6
R047,36-45,25-50K,Urban,OnePlus,2,3,4,4,3,3,3,2,YouTube Reviews,Brand Website,Online,30000-50000,8,8
R048,18-25,<25K,Urban,Realme,1,2,5,4,4,1,2,1,YouTube Reviews,Peer Recommendations,Online,18000-28000,8,8
R049,26-35,25-50K,Semi-urban,Samsung,2,3,4,4,4,2,3,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,8,8
R050,36-45,>100K,Urban,iPhone,2,3,2,4,5,5,4,3,Peer Recommendations,Brand Website,Online,80000-150000,9,10
R051,45+,25-50K,Urban,Samsung,3,3,4,2,2,2,2,1,Peer Recommendations,In-Store Staff,In-Store,20000-35000,5,5
R052,18-25,<25K,Rural,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,7
R053,26-35,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,YouTube Reviews,Online,40000-70000,8,9
R054,36-45,50-100K,Urban,Samsung,2,3,4,4,3,3,3,2,YouTube Reviews,E-commerce Reviews,Online,30000-50000,8,8
R055,45+,>100K,Urban,iPhone,3,4,2,5,5,5,4,3,Brand Website,E-commerce Reviews,Online,70000-120000,9,10
R056,18-25,<25K,Urban,Realme,1,2,5,4,4,1,3,1,YouTube Reviews,Peer Recommendations,Online,18000-28000,8,8
R057,26-35,25-50K,Urban,Vivo,2,3,4,3,4,2,4,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,7,7
R058,36-45,25-50K,Semi-urban,Samsung,2,3,4,3,3,2,2,2,YouTube Reviews,Peer Recommendations,Online,20000-35000,7,7
R059,45+,50-100K,Urban,Sony,2,3,3,3,4,3,2,3,In-Store Staff,Brand Website,In-Store,40000-70000,7,7
R060,18-25,<25K,Urban,Samsung,1,2,5,5,4,2,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,9
R061,26-35,>100K,Urban,Apple,3,4,2,5,5,5,4,3,E-commerce Reviews,Brand Website,Online,70000-120000,9,10
R062,36-45,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,Tech Blogs,Online,40000-70000,8,9
R063,18-25,<25K,Semi-urban,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Tech Blogs,Online,18000-28000,8,8
R064,26-35,25-50K,Urban,Samsung,2,3,4,4,4,2,3,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,8,8
R065,45+,25-50K,Rural,Samsung,4,4,4,2,2,2,1,2,Peer Recommendations,In-Store Staff,In-Store,20000-35000,5,5
R066,36-45,50-100K,Semi-urban,Samsung,2,3,4,4,3,3,3,2,YouTube Reviews,E-commerce Reviews,Online,30000-50000,8,8
R067,18-25,<25K,Urban,Realme,1,2,5,4,4,1,2,2,YouTube Reviews,Peer Recommendations,Online,18000-28000,8,8
R068,26-35,25-50K,Urban,Moto,2,3,4,4,3,2,2,2,Tech Blogs,Peer Recommendations,Online,25000-40000,7,7
R069,36-45,>100K,Urban,iPhone,2,3,2,4,5,5,4,3,Peer Recommendations,Brand Website,Online,80000-150000,9,10
R070,45+,50-100K,Urban,Sony,2,3,3,3,4,3,2,3,In-Store Staff,Brand Website,In-Store,40000-70000,7,7
R071,18-25,<25K,Urban,Samsung,1,2,5,5,4,2,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,9
R072,26-35,25-50K,Semi-urban,Realme,1,2,4,5,3,1,3,2,YouTube Reviews,Tech Blogs,Online,20000-35000,8,8
R073,36-45,50-100K,Urban,Samsung,3,3,4,4,3,3,3,2,E-commerce Reviews,YouTube Reviews,Online,30000-50000,8,8
R074,18-25,<25K,Rural,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,7
R075,26-35,>100K,Urban,Apple,2,4,2,5,5,5,4,3,Brand Website,E-commerce Reviews,Online,60000-100000,9,10
R076,45+,25-50K,Semi-urban,Samsung,3,3,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,25000-40000,6,6
R077,36-45,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,YouTube Reviews,Online,40000-70000,8,9
R078,18-25,<25K,Urban,Realme,1,2,5,4,4,1,3,1,YouTube Reviews,Peer Recommendations,Online,18000-28000,8,8
R079,26-35,25-50K,Urban,Samsung,2,3,4,4,4,2,3,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,8,8
R080,36-45,50-100K,Semi-urban,Apple,2,3,3,4,5,5,3,2,Peer Recommendations,Brand Website,In-Store,60000-100000,8,9
R081,45+,50-100K,Urban,Samsung,3,4,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,30000-50000,6,6
R082,18-25,<25K,Urban,Redmi,1,2,5,4,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,8
R083,26-35,>100K,Urban,iPhone,3,4,2,5,5,5,4,3,E-commerce Reviews,Brand Website,Online,70000-120000,9,10
R084,36-45,25-50K,Rural,Samsung,2,3,4,3,3,2,2,2,YouTube Reviews,Peer Recommendations,Online,20000-35000,7,7
R085,45+,25-50K,Semi-urban,Nokia,3,4,4,2,2,3,2,3,Peer Recommendations,In-Store Staff,In-Store,15000-30000,5,5
R086,18-25,<25K,Urban,Xiaomi,1,2,5,5,4,1,3,1,YouTube Reviews,Tech Blogs,Online,18000-28000,8,8
R087,26-35,50-100K,Urban,Samsung,2,3,4,4,3,3,3,2,YouTube Reviews,E-commerce Reviews,Online,30000-50000,8,8
R088,36-45,50-100K,Urban,OnePlus,2,3,4,5,3,4,3,3,Brand Website,Tech Blogs,Online,40000-70000,8,9
R089,45+,>100K,Urban,iPhone,4,5,2,4,4,5,3,3,Peer Recommendations,Brand Website,In-Store,80000-150000,9,10
R090,18-25,<25K,Semi-urban,Realme,1,2,5,4,3,1,3,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,8,8
R091,26-35,25-50K,Urban,Vivo,2,3,4,3,4,2,4,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,7,7
R092,36-45,50-100K,Semi-urban,Samsung,2,3,4,4,3,3,3,2,YouTube Reviews,E-commerce Reviews,Online,30000-50000,8,8
R093,18-25,<25K,Urban,Xiaomi,1,2,5,4,3,1,2,1,YouTube Reviews,Peer Recommendations,Online,15000-25000,7,7
R094,26-35,>100K,Urban,Apple,3,4,2,5,5,5,4,3,E-commerce Reviews,Brand Website,Online,70000-120000,9,10
R095,45+,50-100K,Semi-urban,Samsung,3,4,4,3,2,3,2,2,Peer Recommendations,In-Store Staff,In-Store,25000-50000,6,6
R096,36-45,25-50K,Urban,OnePlus,2,3,4,4,3,3,3,2,YouTube Reviews,Brand Website,Online,30000-50000,8,8
R097,18-25,<25K,Urban,Realme,1,2,5,4,4,1,2,1,YouTube Reviews,Peer Recommendations,Online,18000-28000,8,8
R098,26-35,25-50K,Semi-urban,Samsung,2,3,4,4,4,2,3,2,YouTube Reviews,E-commerce Reviews,Online,25000-40000,8,8
R099,36-45,>100K,Urban,iPhone,2,3,2,4,5,5,4,3,Peer Recommendations,Brand Website,Online,80000-150000,9,10
R100,45+,25-50K,Urban,Samsung,3,3,4,2,2,2,2,1,Peer Recommendations,In-Store Staff,In-Store,20000-35000,5,5